Title,Description,Address,Price,Feature,Date_Info
Standard 2 Bedroom Flat,Standard 2 Bedroom Flat/Flat Apartment FOR Rent,F14 District Kubwa Abuja,"₦ 2,500,000/year",2 Beds 3 Baths,"Updated 23 Jun 2026, Added 12 Jun 2026"
Room And Parlour Self Contained,Room And Parlour Self Contained/Flat Apartment FOR Rent,Ologolo Lekki Lagos,"₦ 3,000,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 30 Mar 2026"
3 Bedroom Apartment,3 Bedroom Apartment/Flat Apartment FOR Rent,Off Admiralty Way Lekki Phase 1 Lekki Lagos,"₦ 25,000,000/year",3 Beds 3 Baths,"Updated 23 Jun 2026, Added 17 Mar 2026"
2 Bedroom Flat,2 Bedroom Flat/Flat Apartment FOR Rent,Ilasan Ikate Ilasan Lekki Lagos,"₦ 7,500,000/year",2 Beds 2 Baths,"Updated 23 Jun 2026, Added 04 May 2026"
Executive 3 Bedroom Apartment,Executive 3 Bedroom Apartment/Flat Apartment FOR Rent,Ago Palace Okota Lagos,"₦ 3,500,000/year",3 Beds 3 Baths,"Updated 23 Jun 2026, Added 18 Apr 2026"
Newly Built 2 Bedroom Apartment,Newly Built 2 Bedroom Apartment/Flat Apartment FOR Rent,Ago Palace Okota Lagos,"₦ 3,000,000/year",2 Beds 3 Baths,"Updated 23 Jun 2026, Added 28 Apr 2026"
2bedroom Flat,2bedroom Flat/Flat Apartment FOR Rent,Salem Ikate Lekki Lagos,"₦ 8,000,000/year",2 Beds 2 Baths,"Updated 23 Jun 2026, Added 14 May 2026"
Mixed Used 600sqm Dry Land,Mixed Used 600sqm Dry Land/Land FOR SALE,Sangotedo Ajah Lagos,"₦ 90,000,000",10 Beds 10 Baths,"Updated 23 Jun 2026, Added 02 May 2026"
Serviced & Spacious 3bedroom Flat(2floor),Serviced & Spacious 3bedroom Flat(2floor)/Flat Apartment FOR Rent,Whitesand Lekki Rhs Lekki Lagos,"₦ 12,000,000/year",3 Beds 3 Baths,"Updated 23 Jun 2026, Added 23 May 2026"
Serviced & Spacious 3bedroom Flat(upstairs),Serviced & Spacious 3bedroom Flat(upstairs)/Flat Apartment FOR Rent,Katampe Extension Katampe Abuja,"₦ 7,000,000/year",3 Beds 3 Baths,"Updated 23 Jun 2026, Added 25 May 2026"
Renovated 2 Bedroom Apartment,Renovated 2 Bedroom Apartment/Flat Apartment FOR Rent,Ago Palace Okota Lagos,"₦ 3,500,000/year",2 Beds 2 Baths,"Updated 23 Jun 2026, Added 05 May 2026"
Executive 2 Bedroom Apartment Upstairs,Executive 2 Bedroom Apartment Upstairs/Flat Apartment FOR Rent,Ago Palace Okota Lagos,"₦ 3,500,000/year",2 Beds 2 Baths,"Updated 23 Jun 2026, Added 27 May 2026"
Newly Built Furnished Miniflat,Newly Built Furnished Miniflat/Flat Apartment FOR Rent,Yaba Yaba Lagos,"₦ 3,500,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 03 Jun 2026"
Renovated 2 Bedroom Apartment,Renovated 2 Bedroom Apartment/Flat Apartment FOR Rent,Ago Palace Okota Lagos,"₦ 3,300,000/year",2 Beds 3 Baths,"Updated 23 Jun 2026, Added 05 May 2026"
Exquisite Beautiful 3 Bedroom Apartment With Bq,Exquisite Beautiful 3 Bedroom Apartment With Bq/Flat Apartment FOR Rent,"Ikoyi , Beautiful Environment And Serene Bourdillon Ikoyi Lagos","₦ 40,000,000/year",3 Beds 4 Baths,"Updated 23 Jun 2026, Added 12 Jun 2026"
Luxury Newly Built 2 Apartment,Luxury Newly Built 2 Apartment/Flat Apartment FOR Rent,"Lekki Phase 1 , In The Heart Of Lekki Phase 1 Lekki Phase 1 Lekki Lagos","₦ 15,000,000/year",2 Beds 3 Baths,"Updated 23 Jun 2026, Added 13 Jun 2026"
Luxury 4 Bedroom Terraced Duplex,Luxury 4 Bedroom Terraced Duplex/Flat Apartment FOR Rent,"Eleganza , Oral Estate Extension Oral Estate Lekki Lagos","₦ 9,000,000/year",4 Beds 5 Baths,"Updated 23 Jun 2026, Added 13 Jun 2026"
Seaview Brand New 2 Bedroom,Seaview Brand New 2 Bedroom/Flat Apartment FOR Rent,Alpha Beach Road Lekki Lagos,"₦ 6,000,000/year",2 Beds 2 Baths,"Updated 23 Jun 2026, Added 03 Jun 2026"
Spacious Master Bedroom In A Shared Apartment,Spacious Master Bedroom In A Shared Apartment/Flat Apartment FOR Rent,Ikota Lekki Lagos,"₦ 2,500,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 12 Jun 2026"
Lovely Newly Renovated 2 Bedroom Flat,Lovely Newly Renovated 2 Bedroom Flat/Flat / Apartment FOR RENT,"Miracle Avenue, Opposite Wisebuyer Mall. Magboro Obafemi Owode Ogun","₦ 1,500,000/year",2 Beds 1 Baths,"Updated 22 Jun 2026, Added 22 Jun 2026"
3 Bedroom Terrace Duplex,3 Bedroom Terrace Duplex/Flat Apartment FOR Rent,General Paint Bus Stop Off Lekki Epe Expressway Ajah Lagos,"₦ 6,000,000/year",3 Beds 3 Baths,"Updated 23 Jun 2026, Added 07 May 2026"
Room And Parlour Self Contained,Room And Parlour Self Contained/Flat Apartment FOR Rent,Ikota Bus Stop Lekki Lagos,"₦ 3,000,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 26 May 2026"
*to Let* *2bed || Upstairs ||,*to Let* *2bed || Upstairs ||/Flat Apartment FOR Rent,Peace Ville Bus Stop Badore Badore Ajah Lagos,"₦ 3,000,000/year",3 Beds 2 Baths,"Updated 23 Jun 2026, Added 28 May 2026"
Luxury Mini Flat With Large Parlour Unfurnished,Luxury Mini Flat With Large Parlour Unfurnished/Flat Apartment FOR Rent,Chevron Drive Lekki Lagos,"₦ 4,200,000/year",2 Beds 2 Baths,"Updated 23 Jun 2026, Added 26 Jan 2026"
Ultra Luxury 3 Bedroom Flat&bq (victoria Island ),Ultra Luxury 3 Bedroom Flat&bq (victoria Island )/Flat Apartment FOR Rent,Victoria Island Lagos,"₦ 53,000,000/year",3 Beds 4 Baths,"Updated 23 Jun 2026, Added 07 Feb 2026"
Spacious 2 Bedroom Apartments,Spacious 2 Bedroom Apartments/Flat Apartment FOR Rent,Badore Ajah Lagos,"₦ 2,500,000/year",2 Beds 2 Baths,"Updated 23 Jun 2026, Added 05 Jun 2026"
Spacious Standard 3bedroom Flat With Bq,Spacious Standard 3bedroom Flat With Bq/Flat Apartment FOR Rent,Durumi District Durumi Abuja,"₦ 9,000,000/year",3 Beds 3 Baths,"Updated 23 Jun 2026, Added 19 Jun 2026"
Big Master Bedroom,Big Master Bedroom/Flat Apartment FOR Rent,Orchid Lekki Conservation Centre Lekki Lagos,"₦ 2,600,000/year",1 Baths,"Updated 23 Jun 2026, Added 29 Apr 2026"
Mini Flat,Mini Flat/Flat Apartment FOR Rent,Royal Pine Orchid Lekki Lagos,"₦ 4,500,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 09 May 2026"
5 Bedroom Fully Detached Duplex,5 Bedroom Fully Detached Duplex/House FOR SALE,Alpha Beach Road Lekki Lagos,"₦ 550,000,000",5 Beds 5 Baths,"Updated 21 Jun 2026, Added 15 May 2026"
2 Bedroom Flat,2 Bedroom Flat/Flat Apartment FOR Rent,Green Field Estate Ago Palace Okota Lagos,"₦ 2,500,000/year",2 Beds 2 Baths,"Updated 23 Jun 2026, Added 09 May 2026"
Furnished/serviced Big 2 Bedrom Flat +amenities,Furnished/serviced Big 2 Bedrom Flat +amenities/Flat Apartment FOR Rent,Lovely Environment @ Opebi Ikeja Opebi Ikeja Lagos,"₦ 10,000,000",2 Beds 3 Baths,"Updated 23 Jun 2026, Added 28 Mar 2026"
Spacious 2 Bedroom Apartment,Spacious 2 Bedroom Apartment/Flat Apartment FOR Rent,Sangotedo Ajah Lagos,"₦ 3,500,000/year",2 Beds 2 Baths,"Updated 23 Jun 2026, Added 18 Jun 2026"
Renovated 1 Bedroom,Renovated 1 Bedroom/Flat Apartment FOR Rent,Before Shoprite Sangotedo Ajah Lagos,"₦ 1,300,000",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 16 Jun 2026"
3 Bedroom Apartment,3 Bedroom Apartment/Flat Apartment FOR Rent,Ago Palace Okota Lagos,"₦ 3,500,000/year",3 Beds 3 Baths,"Updated 23 Jun 2026, Added 18 May 2026"
Fantastic 5 Bedrooms Duplex To Let,Fantastic 5 Bedrooms Duplex To Let/Flat Apartment FOR Rent,Okota Road Ago Palace Okota Lagos,"₦ 7,000,000/year",5 Beds 5 Baths,"Updated 23 Jun 2026, Added 12 Jun 2026"
Apartment,Apartment/Flat Apartment FOR Rent,Ago Palace Okota Lagos,"₦ 2,000,000/year",1 Beds 2 Baths,"Updated 23 Jun 2026, Added 20 Apr 2026"
Mini Flat,Mini Flat/Flat Apartment FOR Rent,Mobil Estate Ilaje Ajah Lagos,"₦ 2,300,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 20 Mar 2026"
Mini Flat,Mini Flat/Flat Apartment FOR Rent,At Oladeinde Street Via Rosonwo Street Aguda / Itire Surulere Lagos,"₦ 1,300,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 31 Mar 2026"
Room And Parlour,Room And Parlour/Flat Apartment FOR Rent,Ikate Ikate Lekki Lagos,"₦ 5,000,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 13 May 2026"
3 Bedroom Self Compound Bungalow Flat,3 Bedroom Self Compound Bungalow Flat/Flat Apartment FOR Rent,Ikota School Ikota Lekki Lagos,"₦ 5,000,000/year",3 Beds 3 Baths,"Updated 23 Jun 2026, Added 10 May 2026"
3 Bedroom Apartment,3 Bedroom Apartment/Flat / Apartment FOR RENT,Oniru Victoria Island Lagos,"₦ 35,000,000/year",3 Beds 3 Baths,"Updated 21 Jun 2026, Added 07 Mar 2026"
Studio Apartment,Studio Apartment/Flat Apartment FOR Rent,Gra Ikota Lekki Lagos,"₦ 3,000,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 10 May 2026"
Spacious Furnished Bedroom In A Shared Apartment,Spacious Furnished Bedroom In A Shared Apartment/Flat Apartment FOR Rent,Badore Ajah Lagos,"₦ 1,800,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 10 Jun 2026"
One Bedroom Flat,One Bedroom Flat/Flat Apartment FOR Rent,Arab Road Kubwa Kubwa Abuja,"₦ 1,500,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 05 Jun 2026"
Renovated 3 Bedroom Apartment,Renovated 3 Bedroom Apartment/Flat Apartment FOR Rent,Ago Palace Okota Lagos,"₦ 4,000,000/year",3 Beds 4 Baths,"Updated 23 Jun 2026, Added 23 May 2026"
3 Bedroom Apartment,3 Bedroom Apartment/Flat Apartment FOR Rent,Ago Palace Okota Lagos,"₦ 3,500,000/year",3 Beds 3 Baths,"Updated 23 Jun 2026, Added 28 Apr 2026"
Furnished Studio Roomself Contain +a.c + Inverter,Furnished Studio Roomself Contain +a.c + Inverter/Flat Apartment FOR Rent,Alausa Ikeja Lagos,"₦ 2,500,000",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 01 Jun 2026"
3 Bedroom With A Room Bq,3 Bedroom With A Room Bq/Flat Apartment FOR Rent,Ikate Lekki Lagos,"₦ 28,000,000/year",3 Beds 4 Baths,"Updated 23 Jun 2026, Added 02 Mar 2026"
2 Bedroom Apartment,2 Bedroom Apartment/Flat Apartment FOR Rent,Chevy View Estate Chevron Drive Lekki Lagos,"₦ 5,500,000",2 Beds 2 Baths,"Updated 23 Jun 2026, Added 12 Jun 2026"
Renovated Mini Flat Apartment,Renovated Mini Flat Apartment/Flat Apartment FOR Rent,Ago Palace Okota Lagos,"₦ 2,000,000/year",1 Beds 2 Baths,"Updated 23 Jun 2026, Added 19 May 2026"
5 Bedroom Duplex,5 Bedroom Duplex/House FOR SALE,Malami Estate Oluyole Estate Ibadan Oyo,"₦ 275,000,000",5 Beds 5 Baths,"Updated 22 Jun 2026, Added 12 Oct 2025"
Newly Built 2 Bedroom Apartment Upstairs,Newly Built 2 Bedroom Apartment Upstairs/Flat Apartment FOR Rent,Ago Palace Okota Lagos,"₦ 3,500,000/year",2 Beds 2 Baths,"Updated 23 Jun 2026, Added 01 Jun 2026"
Masters Bedroom,Masters Bedroom/Flat Apartment FOR Rent,Estate Badore Ajah Lagos,"₦ 700,000/year",1 Baths,"Updated 23 Jun 2026, Added 11 May 2026"
2 Bedroom Apartment,2 Bedroom Apartment/Flat Apartment FOR Rent,Lekki Phase 1 Lekki Lagos,"₦ 14,000,000/year",2 Beds 2 Baths,"Updated 23 Jun 2026, Added 25 Apr 2026"
Well Maintained 3 Bedroom Apartment,Well Maintained 3 Bedroom Apartment/Flat Apartment FOR Rent,Lekki Phase 1 Lekki Lagos,"₦ 18,000,000/year",3 Beds 3 Baths,"Updated 23 Jun 2026, Added 25 Apr 2026"
2 Bedroom Apartment,2 Bedroom Apartment/Flat Apartment FOR Rent,Ikota By Vgc Vgc Lekki Lagos,"₦ 6,000,000/year",2 Beds 2 Baths,"Updated 23 Jun 2026, Added 04 May 2026"
4 Bedroom Duplex,4 Bedroom Duplex/Flat Apartment FOR Rent,Lbs Bus Stop Sangotedo Ajah Lagos,"₦ 7,000,000/year",4 Beds 4 Baths,"Updated 23 Jun 2026, Added 07 May 2026"
"2 Beds 3t, 2b @ Ebutemetta East","2 Beds 3t, 2b @ Ebutemetta East/Flat Apartment FOR Rent",Yaba Lagos,"₦ 3,000,000",2 Beds 2 Baths,"Updated 23 Jun 2026, Added 22 Jun 2026"
3 Bedroom Flat,3 Bedroom Flat/Flat Apartment FOR Rent,"Okebadan Estate, Off Akala Way Akobo Ibadan Oyo","₦ 2,500,000/year",3 Beds 3 Baths,"Updated 23 Jun 2026, Added 15 May 2026"
3 Bedroom Flat,3 Bedroom Flat/Flat Apartment FOR Rent,Ajangboju Estate Off General Gas Akobo Ibadan Oyo,"₦ 2,000,000/year",3 Beds 3 Baths,"Updated 23 Jun 2026, Added 15 May 2026"
Brand New 4 Bedroom Panthouse With Bq,Brand New 4 Bedroom Panthouse With Bq/Flat Apartment FOR Rent,"Off Bourdillon, Ikoyi, Lagos Old Ikoyi Ikoyi Lagos","$ 100,000",4 Beds 4 Baths,"Updated 23 Jun 2026, Added 23 May 2026"
3 Bedroom Flat,3 Bedroom Flat/Flat Apartment FOR Rent,Lekki County Ikota Lekki Lagos,"₦ 7,000,000/year",3 Beds 4 Baths,"Updated 23 Jun 2026, Added 16 May 2026"
Premium 3 Bedroom Furnished Apartment (ocean View),Premium 3 Bedroom Furnished Apartment (ocean View)/Flat / Apartment FOR RENT,Eko Atlantic City Victoria Island Lagos,"₦ 84,000,000/year",3 Beds 3 Baths,"Updated 21 Jun 2026, Added 16 Jun 2026"
3 Bedroom Flat With Bq,3 Bedroom Flat With Bq/Flat Apartment FOR Rent,Agungi Agungi Lekki Lagos,"₦ 6,000,000/year",3 Beds 4 Baths,"Updated 23 Jun 2026, Added 18 May 2026"
Lovely 3 Bedroom Flat,Lovely 3 Bedroom Flat/Flat Apartment FOR Rent,Agungi Estate Agungi Lekki Lagos,"₦ 7,000,000/year",3 Beds 3 Baths,"Updated 23 Jun 2026, Added 02 May 2026"
Mini Flat,Mini Flat/Flat Apartment FOR Rent,Ikota Villa Lekki Lagos,"₦ 5,000,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 20 May 2026"
Mini Flat Penthouse,Mini Flat Penthouse/Flat Apartment FOR Rent,Ladipo Omotosho Cole Lekki Phase 1 Lekki Lagos,"₦ 8,000,000",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 23 May 2026"
Newly Built 2 Bedroom Unit,Newly Built 2 Bedroom Unit/Flat Apartment FOR Rent,Freedom Way Lekki Lagos,"₦ 12,000,000/year",2 Beds 2 Baths,"Updated 23 Jun 2026, Added 31 May 2026"
Luxury 3 Bedroom Flat,Luxury 3 Bedroom Flat/Flat Apartment FOR Rent,Green Field Estate Ago Palace Okota Lagos,"₦ 3,000,000/year",3 Beds 3 Baths,"Updated 23 Jun 2026, Added 05 May 2026"
Beautiful 3 Bedroom Maisonette,Beautiful 3 Bedroom Maisonette/Flat Apartment FOR Rent,Lekki Phase 1 Lekki Phase 1 Lekki Lagos,"₦ 25,000,000/year",3 Beds 3 Baths,"Updated 23 Jun 2026, Added 21 May 2026"
Newly Built 20 Flats,Newly Built 20 Flats/Flat Apartment FOR Rent,Sabo Yaba Lagos,"₦ 200,000,000/year",3 Beds 3 Baths,"Updated 23 Jun 2026, Added 04 Mar 2026"
1 Bedroom Apartment,1 Bedroom Apartment/Flat Apartment FOR Rent,Lekki Phase 1 Lekki Phase 1 Lekki Lagos,"₦ 5,500,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 10 May 2026"
Newly Built 5 Bedroom Duplex,Newly Built 5 Bedroom Duplex/House FOR SALE,Trans Ekulu Enugu Enugu,"₦ 220,000,000",5 Beds 5 Baths,"Updated 23 Jun 2026, Added 11 Jun 2026"
Roomself,Roomself/Flat Apartment FOR Rent,West Wood Bus Stop Badore Ajah Badore Ajah Lagos,"₦ 1,500,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 16 May 2026"
Spacious 2 Bedroom Apartments,Spacious 2 Bedroom Apartments/Flat Apartment FOR Rent,Olokonla Ajah Lagos,"₦ 3,500,000/year",2 Beds 2 Baths,"Updated 23 Jun 2026, Added 21 Jun 2026"
Room Self Contained,Room Self Contained/Flat Apartment FOR Rent,"Vgc Estate, Lekki Lagos","₦ 1,500,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 20 May 2026"
3 Bedroom Flat,3 Bedroom Flat/Flat Apartment FOR Rent,Ado Roundabout Langbasa Ado Road Ajah Lagos,"₦ 3,300,000/year",3 Beds 3 Baths,"Updated 23 Jun 2026, Added 15 May 2026"
Spacious 3 Bedroom Flat,Spacious 3 Bedroom Flat/Flat Apartment FOR Rent,Ipaja Road Ipaja Lagos,"₦ 2,500,000/year",3 Beds 3 Baths,"Updated 23 Jun 2026, Added 31 Jan 2026"
Standard Spacious Furnished Miniflat Apartment,Standard Spacious Furnished Miniflat Apartment/Flat Apartment FOR Rent,Gbagada Phase 1 Gbagada Lagos,"₦ 2,500,000",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 09 Jun 2026"
5 Bedroom Duplex,5 Bedroom Duplex/Flat Apartment FOR Rent,Raji Rasaki Estate Apple Junction Amuwo Odofin Lagos,"₦ 12,000,000/year",5 Beds 4 Baths,"Updated 23 Jun 2026, Added 12 May 2026"
Relatively New Roomself Apartment,Relatively New Roomself Apartment/Flat Apartment FOR Rent,Akoka Yaba Lagos,"₦ 850,000",,"Updated 23 Jun 2026, Added 11 Jun 2026"
Spacious 3 Bedroom Apartments,Spacious 3 Bedroom Apartments/Flat Apartment FOR Rent,Badore Ajah Lagos,"₦ 2,700,000/year",3 Beds 3 Baths,"Updated 23 Jun 2026, Added 19 Jun 2026"
Newly Built Mini Flat,Newly Built Mini Flat/Flat Apartment FOR Rent,Off Luth Road Mushin Mushin Mushin Lagos,"₦ 1,500,000/year",1 Beds 2 Baths,"Updated 23 Jun 2026, Added 07 Mar 2026"
Newly Built Mini Flat,Newly Built Mini Flat/Flat Apartment FOR Rent,Olosha Mushin Mushin Lagos,"₦ 1,600,000/year",1 Beds 2 Baths,"Updated 23 Jun 2026, Added 21 Apr 2026"
Newly Furnished/serviced 3 Bedroom Apartment For Rent,Newly Furnished/serviced 3 Bedroom Apartment For Rent/Flat / Apartment FOR RENT,Jahi Abuja,"₦ 25,000,000/year",3 Beds 3 Baths,"Updated 17 Jun 2026, Added 20 Feb 2026"
1 Bedroom Flat,1 Bedroom Flat/Flat Apartment FOR Rent,Katampe Main Katampe Main Abuja,"₦ 2,500,000",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 16 Jun 2026"
1 Bedroom Apartment,1 Bedroom Apartment/Flat Apartment FOR Rent,Ikota Villa Ikota Lekki Lagos,"₦ 4,800,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 18 May 2026"
Room Self Contained,Room Self Contained/Flat Apartment FOR Rent,Adekunle Kuye Street Aguda Surulere Lagos,"₦ 750,000",,"Updated 23 Jun 2026, Added 01 Apr 2026"
Master Bedroom,Master Bedroom/Flat Apartment FOR Rent,Royal Garden Thomas Estate Ajah Lagos,"₦ 2,500,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 24 Feb 2026"
Furnished 1 Bedroom Apartment,Furnished 1 Bedroom Apartment/Flat Apartment FOR Rent,Lekki Phase 1 Lekki Lagos,"₦ 8,500,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 22 May 2026"
2 Bedroom Flat,2 Bedroom Flat/Flat Apartment FOR Rent,Ikate Elegushi Lekki Lagos,"₦ 12,000,000/year",2 Beds 2 Baths,"Updated 23 Jun 2026, Added 20 May 2026"
Newly Built 2 Bedroom Apartment,Newly Built 2 Bedroom Apartment/Flat Apartment FOR Rent,Olowo Street Olateju Mushin Lagos,"₦ 2,500,000/year",2 Beds 3 Baths,"Updated 23 Jun 2026, Added 30 Mar 2026"
2 Bedroom Apartment,2 Bedroom Apartment/Flat Apartment FOR Rent,Estate Oke Ira Ogba Lagos,"₦ 2,000,000/year",2 Beds 2 Baths,"Updated 23 Jun 2026, Added 10 Mar 2026"
Renoveted 3 Bedroom Apartment,Renoveted 3 Bedroom Apartment/Flat Apartment FOR Rent,Ago Palace Okota Lagos,"₦ 4,500,000/year",3 Beds 3 Baths,"Updated 23 Jun 2026, Added 05 May 2026"
5 Bedroom Duplex,5 Bedroom Duplex/House FOR SALE,Malami Estate Oluyole Estate Ibadan Oyo,"₦ 275,000,000",5 Beds 5 Baths,"Updated 22 Jun 2026, Added 12 Oct 2025"
Newly Built Room And Parlour Self Contain,Newly Built Room And Parlour Self Contain/Flat Apartment FOR Rent,Adegbite Street Off Olateju Olateju Mushin Lagos,"₦ 1,500,000/year",1 Beds 2 Baths,"Updated 23 Jun 2026, Added 08 Jun 2026"
Newly Built 2 Bedroom Apartment,Newly Built 2 Bedroom Apartment/Flat Apartment FOR Rent,Ago Palace Okota Lagos,"₦ 3,500,000/year",2 Beds 3 Baths,"Updated 23 Jun 2026, Added 13 Apr 2026"
Newly Built 3 Bedroom Apartment Upstairs,Newly Built 3 Bedroom Apartment Upstairs/Flat Apartment FOR Rent,Ago Palace Okota Lagos,"₦ 5,000,000/year",3 Beds 3 Baths,"Updated 23 Jun 2026, Added 06 Jun 2026"
Wonderful 3 Bedroom Flat To Let,Wonderful 3 Bedroom Flat To Let/Flat Apartment FOR Rent,Durbar Estate Apple Junction Amuwo Odofin Lagos,"₦ 6,000,000/year",3 Beds 3 Baths,"Updated 23 Jun 2026, Added 06 Jun 2026"
Newly Built Room Self Contained,Newly Built Room Self Contained/Flat Apartment FOR Rent,Mushin Mushin Lagos,"₦ 800,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 09 Apr 2026"
Spacious 1bedroom Apartment,Spacious 1bedroom Apartment/Flat Apartment FOR Rent,Badore Ajah Lagos,"₦ 2,000,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 21 Jun 2026"
Miniflat Upstairs,Miniflat Upstairs/Flat Apartment FOR Rent,Close To The Road At Eko Akete Abijo Gra Abijo Ajah Lagos,"₦ 1,200,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 29 May 2026"
Spacious 2 Bedroom Apartments,Spacious 2 Bedroom Apartments/Flat Apartment FOR Rent,Badore Ajah Lagos,"₦ 2,000,000/year",2 Beds 2 Baths,"Updated 23 Jun 2026, Added 21 Jun 2026"
Luxury 2 Bedroom Flat To Let,Luxury 2 Bedroom Flat To Let/Flat Apartment FOR Rent,Alidada Ago Palace Okota Lagos,"₦ 3,000,000/year",2 Beds 2 Baths,"Updated 23 Jun 2026, Added 10 Jun 2026"
Estate,Estate/Flat Apartment FOR Rent,Estate Ikota Lekki Lagos,"₦ 2,000,000/year",1 Baths,"Updated 23 Jun 2026, Added 10 May 2026"
2 Bedroom Flat,2 Bedroom Flat/Flat Apartment FOR Rent,Common Wealth Bus Stop Badore Ajah Lagos,"₦ 2,000,000/year",2 Beds 2 Baths,"Updated 23 Jun 2026, Added 15 May 2026"
Luxury 3 Bedroom Apartment + Bq,Luxury 3 Bedroom Apartment + Bq/Flat / Apartment FOR RENT,Banana Island Ikoyi Lagos,"₦ 40,000,000/year",3 Beds 3 Baths,"Updated 23 Jun 2026, Added 17 Mar 2026"
Massive 5 Bedroom Detached Duplex With Room Bq,Massive 5 Bedroom Detached Duplex With Room Bq/Flat Apartment FOR Rent,Osapa London Lekki Lagos,"₦ 13,000,000/year",5 Beds 5 Baths,"Updated 23 Jun 2026, Added 19 May 2026"
Standard Miniflat Duplex Apartment,Standard Miniflat Duplex Apartment/Flat Apartment FOR Rent,Gbagada Phase 1 Gbagada Lagos,"₦ 3,000,000",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 09 Jun 2026"
"2 Bedroom Flat, Upstairs","2 Bedroom Flat, Upstairs/Flat Apartment FOR Rent",F14 District Kubwa Abuja,"₦ 2,500,000/year",2 Beds 3 Baths,"Updated 23 Jun 2026, Added 12 Jun 2026"
Newly Built 2b Apartment @ilupeju,Newly Built 2b Apartment @ilupeju/Flat Apartment FOR Rent,Iseyin Street Ilupeju Palmgroove Ikorodu Road (ilupeju) Ilupeju Lagos,"₦ 4,500,000/year",2 Beds 3 Baths,"Updated 23 Jun 2026, Added 31 May 2026"
Newly Renovated 1 Bedroom Apartment,Newly Renovated 1 Bedroom Apartment/Flat Apartment FOR Rent,Mega Chicken Ikota Lekki Lagos,"₦ 4,000,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 05 Jun 2026"
Newly Built Room Self Contain,Newly Built Room Self Contain/Flat Apartment FOR Rent,Obanikoro Estate Anthony Village Maryland Lagos,"₦ 1,200,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 14 Apr 2026"
Miniflat In An Estate Okeira,Miniflat In An Estate Okeira/Flat Apartment FOR Rent,Ogba Lagos,"₦ 800,000",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 19 Jun 2026"
3 Bedroom Apartment,3 Bedroom Apartment/Flat Apartment FOR Rent,"In A Calm Neighborhood At Magodo Unilag Extension, Magodo Isheri Lagos Magodo Gra Phase 1 Ojodu Lagos","₦ 3,000,000/year",3 Beds 3 Baths,"Updated 23 Jun 2026, Added 07 May 2026"
2 Bedroom Flats,2 Bedroom Flats/Flat Apartment FOR Rent,Off College Road Ifako Ogba Ogba Lagos,"₦ 3,500,000/year",2 Beds 2 Baths,"Updated 23 Jun 2026, Added 02 Apr 2026"
4 Bedroom Duplex,4 Bedroom Duplex/House FOR SALE,Bluegate Oluyole Estate Ibadan Oyo,"₦ 310,000,000",,"Updated 21 Jun 2026, Added 01 Sep 2025"
Newly Built 2bed At Ogba,Newly Built 2bed At Ogba/Flat Apartment FOR Rent,College Road Ifako Ogba Ogba Lagos,"₦ 3,000,000/year",2 Beds 2 Baths,"Updated 23 Jun 2026, Added 09 Jun 2026"
"2 Beds 2t, 2b Akoka Upstairs Old Building & Structure","2 Beds 2t, 2b Akoka Upstairs Old Building & Structure/Flat Apartment FOR Rent",Yaba Lagos,"₦ 2,000,000",2 Beds,"Updated 23 Jun 2026, Added 20 Jun 2026"
3 Bedroom Flat,3 Bedroom Flat/Flat Apartment FOR Rent,Remlek Bus Stop Badore Ajah Lagos,"₦ 3,500,000/year",3 Beds 3 Baths,"Updated 23 Jun 2026, Added 26 May 2026"
